,number_of_clusters,silhouette_score_Kmeans_without_PCA,silhouette_score_Kmeans_with_PCA,silhouette_score_HC_without_PCA,silhouette_score_HC_with_PCA,silhouette_score_GMM_without_PCA,silhouette_score_GMM_with_PCA
0,2,0.14168787826929258,0.22731907178963542,0.11944890890718589,0.21730526547183143,0.12978874857510184,0.2295645256772888
1,3,0.14415569562765593,0.23429383530931167,0.12958230883411165,0.22434774336222554,0.16245100386405953,0.11539224248226407
2,4,0.13003726597057538,0.1989135919034124,0.1418132142128123,0.22652440012824182,0.10568320916440774,0.1318346325974863
3,5,0.1393904423295657,0.20446609252364223,0.1484585180025234,0.2167924903525383,0.1122692945089898,0.14930941532863468
4,6,0.12018335549004741,0.1987301599598083,0.15664392482227463,0.21744800030322792,0.11264819418337532,0.10209125271868995
5,7,0.11808746271702261,0.22391836896056092,0.15423283692607231,0.1921692696371375,0.1150567910630655,0.10398502408035351
6,8,0.13039734616140197,0.21335351637743522,0.1659171812774771,0.18600186837115576,0.10800376232349534,0.1044292577968851
7,9,0.131155995374391,0.23549765131276335,0.16119187435847251,0.196332351785934,0.1045976932925446,0.11577080642901028
8,10,0.14681088546756502,0.24612836599977705,0.1637676281470667,0.204081054336829,0.050460962428841974,0.10924090832893958
9,11,0.14760893084134635,0.23590149349654088,0.16933260120949406,0.20082198577342456,0.08193784380422803,0.11618086077754183
10,12,0.14424834702946984,0.24852579400860017,0.12286251533180469,0.212680012231941,0.09255977397451923,0.13161990714913785
11,13,0.15227154013135205,0.25386494906841084,0.1317010187267017,0.2250931989707877,0.09742290710415494,0.15205871270423235
12,14,0.15478792667822824,0.23367329472652731,0.13390637111099493,0.22834010476453104,0.11833350544888141,0.12061910304697289
13,15,0.15718756356685792,0.23036536135451646,0.14151949775241854,0.21377475665016632,0.11441788567263034,0.12250805485455464
14,16,0.16223105878288388,0.21808598208080532,0.14254697544605457,0.2140303178407714,0.12454793989397983,0.12076749299573496
15,17,0.16476769623448706,0.22913198010715735,0.15026146980219285,0.2074000201778534,0.12207402600571068,0.13518108288979544
16,18,0.15266501600160406,0.23204754382240284,0.15054923777367465,0.20851863841607027,0.1061612029043912,0.11673143201371915
17,19,0.1590961417661556,0.2339697372326826,0.14992972654338174,0.21213001334098636,0.10614111254589902,0.11692063617712739
