,count,mean,std,min,25%,50%,75%,max
tripDuration,79009.0,14.775276965071551,11.398374473103008,1.0,6.913683333300001,11.5,19.1666666667,89.85
tripDistance_miles,79009.0,0.5274769140733764,0.6483384500410114,0.03790364393939394,0.08110681818181817,0.19482954545454545,0.7698789318181818,2.999980212121212
StartTime_AMPeak,79009.0,0.0580693338733562,0.23387598986972905,0.0,0.0,0.0,0.0,1.0
StartTime_Day,79009.0,0.36206001847890745,0.480599089580146,0.0,0.0,0.0,1.0,1.0
StartTime_PMPeak,79009.0,0.3111923958030098,0.46298423475851314,0.0,0.0,0.0,1.0,1.0
StartTime_Night,79009.0,0.26867825184472655,0.4432750114733867,0.0,0.0,0.0,1.0,1.0
origin_emp_density_perMile,79009.0,67244.76921649673,89442.84230206127,0.0,4957.35369046135,34288.36849507736,88511.84986967854,655065.0826077249
destination_emp_density_perMile,79009.0,66666.5286263356,89288.06982894766,0.0,4829.253621954178,36425.15930970761,87234.96568683517,655065.0826077249
destination_pop_density_perMile,79009.0,7342.340494659087,7621.898447702251,0.0,842.764266795088,5153.406249320489,10074.101292179555,42558.517962198035
origin_pop_density_perMile,79009.0,7517.033983317007,7743.2781128933175,0.0,842.764266795088,5299.9044081168395,10365.56754681568,42558.517962198035
average_trip_speed_mph,79009.0,2.5328927001912063,2.608977832744516,0.0263889657991598,0.4505661356271187,0.9132289498140844,4.3861485629803925,14.912905114133336
route_directness,79009.0,0.588848476550794,0.2921427336817843,3.347870002725852e-05,0.3756656553742868,0.6614834367165865,0.8269378173801741,0.9999855082526076
weekend_trip,79009.0,0.377640521965852,0.4848000957856478,0.0,0.0,0.0,1.0,1.0
origin_CBD,79009.0,0.6583629713076019,0.3447329904201073,0.0,0.4,0.9,0.9,0.9
origin_URBAN,79009.0,0.23934361908135887,0.3426226332784521,0.0,0.0,0.0,0.5,0.9
origin_SU,79009.0,0.0005467731524256749,0.01167887210144575,0.0,0.0,0.0,0.0,0.6
origin_RURAL,79009.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
destination_CBD,79009.0,0.6580781936240275,0.3489980630996039,0.0,0.4,0.9,0.9,0.9
destination_URBAN,79009.0,0.23798301459325524,0.3453114362667149,0.0,0.0,0.0,0.5,0.9
destination_SU,79009.0,0.0011175941981293252,0.018387052324917386,0.0,0.0,0.0,0.0,0.6
destination_RURAL,79009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
origin_SHT_PRK_density,79009.0,7028.734496242863,10503.17569511472,0.0,0.0,2116.637887818192,9526.077637532746,58008.54590185161
origin_LNG_PRK_density,79009.0,17350.73587056527,34467.23298287578,0.0,0.0,283.19322721039765,14748.37466891404,174543.57115110708
destination_SHT_PRK_density,79009.0,7198.252038654066,10787.948698264474,0.0,0.0,2101.083310844674,10457.198443579768,58008.54590185161
destination_LNG_PRK_density,79009.0,17623.585557309114,34443.30215585148,0.0,0.0,283.19322721039765,15985.267034990791,174543.57115110708
origin_NFL_DRAFT,79009.0,0.0351985216874027,0.18428243427708052,0.0,0.0,0.0,0.0,1.0
origin_VANDERBILT,79009.0,0.10532977255755674,0.3069798109046919,0.0,0.0,0.0,0.0,1.0
origin_PARK,79009.0,0.0642331886240808,0.24516942484311985,0.0,0.0,0.0,0.0,1.0
destination_NFL_DRAFT,79009.0,0.03179384627067802,0.1754519513391786,0.0,0.0,0.0,0.0,1.0
destination_VANDERBILT,79009.0,0.100722702476933,0.3009630976034644,0.0,0.0,0.0,0.0,1.0
destination_PARK,79009.0,0.07042235694667696,0.25585909628358694,0.0,0.0,0.0,0.0,1.0
trip_id,79009.0,363490.67461934715,43450.834140287836,255573.0,325221.0,364992.0,401085.0,439074.0
